,ast,blka,block_above_3,block_in_paint,block_lcorner_3,block_mid_range,block_rcorner_3,block_res,dreb,fga,min,oreb,shot_above_3,shot_in_paint,shot_lcorner_3,shot_mid_range,shot_rcorner_3,shot_res,stl
1626147,5.1,9,0.11111098765445816,0.44444395061783265,0.0,0.0,0.0,0.44444395061783265,8.9,156,2461.455,2.1,0.35897433596318357,0.14102563198553641,0.08333332799145333,0.044871791995397946,0.044871791995397946,0.32692305596647075,2.5999999999999996
203145,5.1,34,0.0,0.5588233650519514,0.0,0.0,0.0,0.44117634083048796,8.9,687,2461.455,2.1,0.2678311460286587,0.11208151219677566,0.09024745137922197,0.14264919734135084,0.072780202725179,0.3144104757727733,2.5999999999999996
1627761,5.1,45,0.022222217283951712,0.31111104197532397,0.044444434567903424,0.044444434567903424,0.0,0.5777776493827446,8.9,615,2461.455,2.1,0.19349593181307428,0.16747967207350128,0.04715447077797609,0.02926829220701964,0.03902438960935952,0.5235772272589069,2.5999999999999996
1713,5.1,9,0.11111098765445816,0.11111098765445816,0.0,0.22222197530891633,0.0,0.5555549382722909,8.9,465,2461.455,2.1,0.5548386977454044,0.06666666523297494,0.04946236452769109,0.09462365387906121,0.06666666523297494,0.1677419318765176,2.5999999999999996
1628381,5.1,65,0.0,0.3384614863905405,0.0,0.030769226035503687,0.0,0.6307691337278255,8.9,829,2461.455,2.1,0.12424607811524635,0.15319662058870182,0.03256936028263739,0.05910735754997156,0.03136308767957675,0.5995174837211401,2.5999999999999996
1627738,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,22,2461.455,2.1,0.0,0.04545452479339782,0.0,0.13636357438019348,0.04545452479339782,0.772726921487763,2.5999999999999996
203473,5.1,25,0.0,0.2799998880000448,0.0,0.0399999840000064,0.0399999840000064,0.6399997440001024,8.9,526,2461.455,2.1,0.28136881594355867,0.13498098602697745,0.032319391020543896,0.08365018852376067,0.0969581730616317,0.37072242641212116,2.5999999999999996
1628989,5.1,29,0.03448274673008733,0.4827584542212227,0.03448274673008733,0.0,0.0,0.4482757074911354,8.9,655,2461.455,2.1,0.4152671692325623,0.187786256675019,0.050381678620127046,0.05801526628984326,0.06870228902744598,0.2198473248878271,2.5999999999999996
1629353,5.1,4,0.0,0.24999937500156252,0.0,0.0,0.0,0.7499981250046875,8.9,21,2461.455,2.1,0.28571414965992875,0.04761902494332146,0.14285707482996438,0.09523804988664292,0.09523804988664292,0.3333331746032502,2.5999999999999996
203458,5.1,44,0.045454535123969284,0.24999994318183108,0.0,0.022727267561984642,0.0,0.6818180268595393,8.9,647,2461.455,2.1,0.15301390799051148,0.10510046205408868,0.06182380120828746,0.047913445936422785,0.09891808193325995,0.5332302854214794,2.5999999999999996
203101,5.1,3,0.0,0.0,0.0,0.0,0.0,0.9999966666777778,8.9,48,2461.455,2.1,0.0,0.22916661892362103,0.0,0.041666657986112916,0.0,0.729166514756976,2.5999999999999996
1627816,5.1,7,0.0,0.14285693877580175,0.0,0.0,0.0,0.8571416326548106,8.9,81,2461.455,2.1,0.06172838744093982,0.03703703246456389,0.1358024523700676,0.024691354976375927,0.08641974241731575,0.654320906873962,2.5999999999999996
1627752,5.1,15,0.0,0.46666635555576297,0.0,0.06666662222225185,0.0,0.46666635555576297,8.9,591,2461.455,2.1,0.32825718564708656,0.1421319772904911,0.09137055682960141,0.1285955985009205,0.10829103031656463,0.20135363449486238,2.5999999999999996
1629016,5.1,14,0.0,0.2857140816327988,0.0,0.0,0.0,0.7142852040819971,8.9,244,2461.455,2.1,0.331967199509541,0.06557376780435378,0.08606557024321433,0.04098360487772111,0.1065573726820749,0.36885244389949,2.5999999999999996
1629027,5.1,98,0.061224483548522085,0.27551017596834937,0.0,0.05102040295710174,0.0,0.6122448354852208,8.9,1255,2461.455,2.1,0.36892429984920877,0.20557768760495868,0.00557768919858415,0.11075697122902813,0.008764940169203664,0.30039840398088924,2.5999999999999996
1628407,5.1,14,0.0,0.42857112244919826,0.0,0.0,0.0,0.5714281632655976,8.9,257,2461.455,2.1,0.2217898746385263,0.2217898746385263,0.0894941599418615,0.10894941210313573,0.027237353025783933,0.33073928674166203,2.5999999999999996
